,KEW.PS-3/BAKERI/300,SAYUR - CILI BANGGALA HIJAU CAPSICUM,1
,KEW.PS-3/BAKERI/301,SAYUR - CILI BANGGALA MERAH,1
,KEW.PS-3/BAKERI/302,SAYUR – CILI BANGGALA KUNING,1
,KEW.PS-3/BAKERI/303,SAYUR – SALAD BULAT,1
,KEW.PS-3/BAKERI/304,SAYUR – SALAD GREEN CORAL (KERINTING),1
,KEW.PS-3/BAKERI/305,SAYUR – KUBIS BULAT,1
,KEW.PS-3/BAKERI/306,SAYUR – KUBIS BUNGA ,1
,KEW.PS-3/BAKERI/307,SAYUR – BROKOLI,1
,KEW.PS-3/BAKERI/308,SAYUR – KELADI,1
,KEW.PS-3/BAKERI/309,SAYUR – KELEDEK,1
,KEW.PS-3/BAKERI/310,SAYUR – LOBAK MERAH,1
,KEW.PS-3/BAKERI/311,SAYUR – LOBAK PUTIH,
,KEW.PS-3/BAKERI/312,SAYUR – SENGKUANG,1
,KEW.PS-3/BAKERI/313,SAYUR – KENTANG,1
,KEW.PS-3/BAKERI/314,SAYUR - TIMUN,
,KEW.PS-3/BAKERI/315,SAYUR – KACANG BOTOL,
,KEW.PS-3/BAKERI/316,SAYUR – PERIA KATAK,1
,KEW.PS-3/BAKERI/317,SAYUR – PERIA,1
,KEW.PS-3/BAKERI/318,SAYUR – PUCUK PAKU,1
,KEW.PS-3/BAKERI/319,SAYUR – ULAM RAJA,1
,KEW.PS-3/BAKERI/320,SAYUR – PETAI,1
,KEW.PS-3/BAKERI/321,SAYUR – JERING,1
,KEW.PS-3/BAKERI/322,SAYUR – BAYAM ,1
,KEW.PS-3/BAKERI/323,SAYUR – BAYAM MERAH,1
,KEW.PS-3/BAKERI/324,SAYUR – PUCUK UBI,1
,KEW.PS-3/BAKERI/325,SAYUR CAMPURAN (MIX VEGETABLE),1
,KEW.PS-3/BAKERI/326,SOSEJ AYAM,1
,KEW.PS-3/BAKERI/327,SOSEJ DAGING,1
,KEW.PS-3/BAKERI/328,TELUR GRED A,1
,KEW.PS-3/BAKERI/329,TEPUNG GANDUM,1
,KEW.PS-3/BAKERI/330,TEPUNG ROTI,1
,KEW.PS-3/BAKERI/331,TEPUNG NAIK SENDIRI / TEPUNG KEK,1
,KEW.PS-3/BAKERI/332,TEPUNG SPONGE MIX,1
,KEW.PS-3/BAKERI/333,TEPUNG SUPERFINE,1
,KEW.PS-3/BAKERI/334,TEPUNG SUSU,1
,KEW.PS-3/BAKERI/335,TEPUNG JAGUNG,1
,KEW.PS-3/BAKERI/336,TEPUNG KASTARD,1
,KEW.PS-3/BAKERI/337,TEPUNG BERAS,1
,KEW.PS-3/BAKERI/338,TEPUNG PULUT,1
,KEW.PS-3/BAKERI/339,TEPUNG UBI,1
,KEW.PS-3/BAKERI/340,TEPUNG WHOLEMEAL,1
,KEW.PS-3/BAKERI/341,TEPUNG ATTA,1
,KEW.PS-3/BAKERI/342,TEPUNG KACANG KUDA,1
,KEW.PS-3/BAKERI/343,TEPUNG SUJI / SEMOLINA,1
,KEW.PS-3/BAKERI/344,TEPUNG KENTANG,1
,KEW.PS-3/BAKERI/345,TEPUNG BESTARI (SPICY),1
,KEW.PS-3/BAKERI/346,TEPUNG BESTARI (ORIGINAL),1
,KEW.PS-3/BAKERI/347,TIN - NENAS,1
,KEW.PS-3/BAKERI/348,TIN - BUAH PEACH,1
,KEW.PS-3/BAKERI/349,TIN - BUAH LAICI,1
,KEW.PS-3/BAKERI/350,TIN – FRUIT COCTAIL,1
,KEW.PS-3/BAKERI/351,TIN – JAGUNG,1
,KEW.PS-3/BAKERI/352,TIN - CENDAWAN BUTANG,1
,KEW.PS-3/BAKERI/353,TIN - SARDIN,1
,KEW.PS-3/BAKERI/354,TIN – TOMATO PUREE,1
,KEW.PS-3/BAKERI/355,TEH UNCANG,
,KEW.PS-3/BAKERI/356,UDANG KERING,1
,KEW.PS-3/BAKERI/357,UDANG BASAH,1
,KEW.PS-3/BAKERI/358,BAKERI-GELATIN,1
,KEW.PS-3/BAKERI/359,BAKERI-GLISERIN,1
